P133=73.9874,-67.6326,37.8173,-63.0714,-108.4258,;
P134=73.9874,-69.6478,40.0927,-63.3316,-108.4258,;
P135=73.9874,-71.6419,42.2738,-63.5186,-108.4258,;
P136=75.6765,-71.5263,42.8415,-63.0673,-108.4258,;
P137=76.6600,-72.3880,44.4121,-63.2089,-108.4258,;
P138=77.6434,-73.2497,45.9827,-63.3505,-108.4258,;
P139=78.6002,-74.1315,47.4288,-63.3475,-108.4258,;
P140=79.5569,-75.0133,48.8750,-63.3446,-108.4258,;
P141=80.5599,-75.8143,50.2567,-63.3579,-108.4258,;
P142=81.5629,-76.6153,51.6384,-63.3712,-108.4258,;
P143=82.6031,-77.3365,52.9394,-63.3688,-108.4258,;
P144=83.6434,-78.0577,54.2404,-63.3664,-108.4258,;
P145=85.3654,-77.7608,54.3727,-62.6310,-108.4258,;
P146=87.0874,-77.4639,54.5050,-61.8957,-108.4258,;
P147=88.1701,-78.0889,55.6827,-61.8660,-108.4258,;
P148=89.2527,-78.7140,56.8604,-61.8362,-108.4258,;
P149=90.3385,-79.3154,57.9696,-61.7616,-108.4258,;
P150=91.4242,-79.9167,59.0787,-61.6870,-108.4258,;
P151=93.1915,-79.4253,59.0043,-60.9223,-108.4258,;
P152=94.9588,-78.9339,58.9299,-60.1575,-108.4258,;
P153=96.7518,-78.3514,58.7848,-59.3961,-108.4258,;
P154=98.5447,-77.7689,58.6398,-58.6346,-108.4258,;
P155=100.3375,-77.1523,58.4494,-57.8619,-108.4258,;
P156=102.1303,-76.5356,58.2590,-57.0891,-108.4258,;
P157=103.9303,-75.8646,58.0556,-56.3577,-108.4258,;
P158=105.7302,-75.1935,57.8521,-55.6262,-108.4258,;
P159=108.1476,-73.5031,56.4274,-54.0937,-108.4258,;
P160=110.5651,-71.8128,55.0028,-52.5611,-108.4258,;
P161=113.5944,-69.1293,52.3508,-50.1953,-108.4258,;
P162=116.6238,-66.4457,49.6989,-47.8295,-108.4258,;
P163=119.6532,-63.7622,47.0469,-45.4637,-108.4258,;
P164=122.6825,-61.0786,44.3949,-43.0978,-108.4258,;
P165=125.7119,-58.3951,41.7430,-40.7320,-108.4258,;
P166=128.7413,-55.7116,39.0910,-38.3662,-108.4258,;
P167=131.7706,-53.0280,36.4390,-36.0004,-108.4258,;
P168=134.8000,-50.3445,33.7871,-33.6346,-108.4258,;
P169=137.8294,-47.6609,31.1351,-31.2688,-108.4258,;
P170=140.8587,-44.9774,28.4832,-28.9030,-108.4258,;
P171=143.8881,-42.2938,25.8312,-26.5372,-108.4258,;
P172=146.9175,-39.6103,23.1792,-24.1713,-108.4258,;
P173=149.9468,-36.9268,20.5273,-21.8055,-108.4258,;
P174=152.9762,-34.2432,17.8753,-19.4397,-108.4258,;
P175=156.0056,-31.5597,15.2233,-17.0739,-108.4258,;
P176=159.0349,-28.8761,12.5714,-14.7081,-108.4258,;
P177=162.0643,-26.1926,9.9194,-12.3423,-108.4258,;
P178=165.0937,-23.5090,7.2675,-9.9765,-108.4258,;
P179=168.1230,-20.8255,4.6155,-7.6107,-108.4258,;
P180=171.1524,-18.1420,1.9635,-5.2448,-108.4258,;
P181=174.1817,-15.4584,-0.6884,-2.8790,-108.4258,;
P182=177.2111,-12.7749,-3.3404,-0.5132,-108.4258,;
P183=180.0241,-10.2830,-5.8029,1.6836,-108.4258,;
P184=182.8371,-7.7911,-8.2655,3.8804,-108.4258,;
P185=185.2173,-5.6827,-10.3492,5.7393,-108.4258,;
P186=187.5975,-3.5742,-12.4328,7.5981,-108.4258,;
P187=189.7613,-1.6573,-14.3271,9.2880,-108.4258,;
P188=191.9252,0.2595,-16.2214,10.9779,-108.4258,;
P189=194.0890,2.1763,-18.1156,12.6677,-108.4258,;
P190=196.2528,4.0931,-20.0099,14.3576,-108.4258,;
P191=198.4167,6.0099,-21.9041,16.0475,-108.4258,;
P192=198.4185,6.2793,-20.4830,14.3570,-108.4258,;
P193=198.4203,6.7512,-19.4621,12.8641,-108.4258,;
P194=198.4221,7.3849,-18.7610,11.5294,-108.4258,;
P195=198.4240,8.1585,-18.3373,10.3321,-108.4258,;
P196=198.4258,9.0605,-18.1690,9.2618,-108.4258,;
P197=198.4258,10.0863,-18.2480,8.3150,-108.4240,;
P198=198.4258,11.2371,-18.5780,7.4942,-108.4222,;
P199=198.4258,12.5206,-19.1755,6.8082,-108.4203,;
P200=198.4258,13.9532,-20.0746,6.2747,-108.4185,;
P201=198.4258,15.5661,-21.3386,5.9258,-108.4167,;
P202=198.4258,14.0208,-18.1483,4.2805,-109.2103,;
P203=198.4258,12.4756,-14.9580,2.6352,-110.0040,;
P204=198.4258,10.9303,-11.7677,0.9900,-110.7976,;
P205=198.4258,9.3850,-8.5773,-0.6553,-111.5913,;
P206=198.4258,7.8398,-5.3870,-2.3006,-112.3850,;
P207=198.4258,6.2945,-2.1967,-3.9459,-113.1786,;
P208=198.4258,4.7492,0.9936,-5.5911,-113.9723,;
P209=198.4258,3.2040,4.1839,-7.2364,-114.7659,;
P210=198.4258,1.6587,7.3742,-8.8817,-115.5596,;
P211=198.4258,0.1135,10.5646,-10.5270,-116.3532,;
P212=198.4258,-1.4318,13.7549,-12.1722,-117.1469,;
P213=198.4258,-2.9771,16.9452,-13.8175,-117.9405,;
P214=198.4258,-4.5223,20.1355,-15.4628,-118.7342,;
P215=198.4258,-6.0676,23.3258,-17.1081,-119.5278,;
P216=198.4258,-7.6129,26.5162,-18.7533,-120.3215,;
P217=198.4258,-8.9060,26.8479,-17.7919,-120.3236,;
P218=198.4258,-10.1639,27.1023,-16.7885,-120.3256,;
P219=198.4258,-11.3859,27.2801,-15.7442,-120.3277,;
P220=198.4258,-12.5715,27.3815,-14.6601,-120.3297,;
P221=198.4258,-13.7197,27.4069,-13.5373,-120.3318,;
P222=198.4237,-14.8298,27.3563,-12.3766,-120.3318,;
P223=198.4217,-15.9008,27.2296,-11.1789,-120.3318,;
P224=198.4196,-16.9316,27.0264,-9.9449,-120.3318,;
P225=198.4176,-17.9213,26.7464,-8.6752,-120.3318,;
